id,station_name,street_address,city,province,latitude,longitude,ev_network,ev_dc_fast_count,ev_level2_evse_num,ev_connector_types,groups_with_access_code,access_days_time,open_date
129500,FLO - Canadian Tire - Kitchener,2905 King St E,Kitchener,Ontario,43.429016,-80.435596,FLO,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2019-07-17
207855,Ivy - ONroute Cambridge South,289 ON-401,Cambridge,Ontario,43.43334602,-80.24552791,IVY,4,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2022-03-07
207856,Ivy - ONroute Cambridge North,290 Highway 401,Cambridge,Ontario,43.43525621,-80.24584462,IVY,4,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2022-03-07
85201,Tim Horton's,228 Wyecroft Rd,Oakville,Ontario,43.446888,-79.694967,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-05-15
157848,Ontario Charging Network LP Canadian Tire,656 Erb St W,Waterloo,Ontario,43.44774,-80.57394,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
129502,FLO - Canadian Tire - Oakville,1100 Kerr St,Oakville,Ontario,43.449901,-79.697644,FLO,2,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
88074,Transit: 64832 Waterloo,12 Fischer-Hallman Road N.,Waterloo,Ontario,43.453863,-80.553791,EV Connect,1,0.0,CHADEMO J1772COMBO,Public,Unknown,2017-04-01
157890,Tesla Kitchener - Tesla Supercharger,663 Victoria Street North,Kitchener,Ontario,43.461251,-80.472322,Tesla,8,0.0,TESLA,Public,24 hours daily; for Tesla use only,2020-05-01
158050,Oakville Place,240 Leighland Ave,Oakville,Ontario,43.461607,-79.6868686,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
208793,Baseload Power Corp,240 Leighland Avenue,Oakville,Ontario,43.46181724,-79.68690079,Non-Networked,2,0.0,Unknown,PLANNED - not yet accessible (Public),Unknown,
212080,Puslinch Library,29 Brock Road South RR3,Aberfoyle,Ontario,43.471537,-80.149843,SHELL_RECHARGE,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2022-03-21
129505,University of Waterloo,263 Philip St.,Waterloo,Ontario,43.472984,-80.53837,FLO,1,1.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
129509,FLO - Canadian Tire - Waterloo,400 Weber St N,Waterloo,Ontario,43.485126,-80.524241,FLO,2,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
206680,Ivy - Oakland,400 Dundas St E,Oakville,Ontario,43.48907258,-79.71590805,IVY,2,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2022-02-11
158049,Canadian Tire Corp,900-980 Southdown Rd,Mississauga,Ontario,43.5087367,-79.6289806,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
208790,Baseload Power Corp,900-980 Southdown Road,Mississauga,Ontario,43.50892343,-79.6289806,Non-Networked,4,0.0,Unknown,PLANNED - not yet accessible (Public),Unknown,
83236,Petro-Canada,235 Steeles Ave E,Milton,Ontario,43.52206,-79.893905,PETROCAN,2,1.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2016-11-02
129513,FLO - Canadian Tire - Milton,20 Market Dr,Milton,Ontario,43.523499,-79.899493,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
157849,Ontario Charging Network LP-Canadian Tire,127 Stone Rd W,Guelph,Ontario,43.52367,-80.23057,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
226105,Wallace Cadillac - Fast Charger,801 MAIN ST E,Milton,Ontario,43.526654,-79.869594,FLO,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2022-08-23
158070,Mobil,900 Main St E,Milton,Ontario,43.5276242,-79.866762,Non-Networked,1,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
84576,Barry Cullen Chevrolet,905 Woodlawn Rd W,Guelph,Ontario,43.536919,-80.318227,Non-Networked,1,3.0,J1772,Public - Call ahead,"Dealership business hours, for client use only",2016-09-15
99196,Dominion Building,138 Wyndham Street North,Guelph,Ontario,43.546952,-80.250767,SHELL_RECHARGE,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2018-06-14
163058,GVW CPE100,359 Woodlawn Rd W,Guelph,Ontario,43.54775,-80.30305,ChargePoint Network,1,0.0,J1772COMBO,Public,24 hours daily,2020-06-12
201702,Denny's,327 Woodlawn Rd W,Guelph,Ontario,43.54890338,-80.30033967,SWTCH,1,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2021-11-23
210213,Shell Canada Ltd,780 South Sheridan Way,Mississauga,Ontario,43.55024753,-79.61585217,Non-Networked,2,0.0,Unknown,PLANNED - not yet accessible (Public),Unknown,
94478,Transit: 20842 Port Credit,158 Lakeshore Road East,Port Credit,Ontario,43.556359,-79.580945,EV Connect,1,0.0,CHADEMO J1772COMBO,Public,Unknown,2017-08-01
189156,Toronto Premium Outlets,"13850 Steeles Avenue W Halton Hills, Ontario",Toronto,Ontario,43.57647,-79.82757,Electrify Canada,4,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2021-05-04
158048,RioCan Grand Park,3920-3980 Grand Park Dr,Mississauga,Ontario,43.5801567,-79.6470088,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
88683,Scotiabank,5201 Ament Line,Linwood,Ontario,43.581519,-80.728389,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-06-01
88690,Scotiabank,3925 Kirwin Ave,Mississauga,Ontario,43.5834681,-79.6203344,Non-Networked,1,0.0,CHADEMO J1772COMBO,Public,24 hours daily,2017-06-01
231066,Transit: 13342 Mississauga,3295 Kirwin Avenue,Mississauga,Ontario,43.583515,-79.620338,EV Connect,1,0.0,CHADEMO J1772COMBO,TEMPORARILY UNAVAILABLE (Public),Unknown,2022-09-30
84322,Addison Chevrolet GMC,6600 Turner Valley Rd,Mississauga,Ontario,43.597203,-79.740092,Non-Networked,1,1.0,J1772 J1772COMBO,Public,Business hours,2016-05-29
157873,Ontario Charging Network LP-Home Depot,2920 Argentia Rd,Mississauga,Ontario,43.59808,-79.77959,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
122288,Meadowvale - Tesla Supercharger,3155 Argentia Road,Mississauga,Ontario,43.598406,-79.786219,Tesla,16,0.0,TESLA,Public,24 hours daily; for Tesla use only,2019-03-01
129519,FLO - Canadian Tire - Mississauga Dundas St.,1202 Dundas St E,Mississauga,Ontario,43.604555,-79.588165,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
227824,6880 Financial Drive,6880 Financial Dr,Mississauga,Ontario,43.608484,-79.74507,EV Connect,2,0.0,CHADEMO J1772COMBO,Public,Unknown,2017-05-15
206681,Ivy - Mississauga,5970 Mavis Rd,Mississauga,Ontario,43.61157057,-79.6956266,IVY,2,0.0,CHADEMO J1772COMBO,Public - Credit card at all times,24 hours daily,2022-02-11
129522,FLO - Cadillac Fairview - Sherway Gardens,25 The West Mall,Etobicoke,Ontario,43.612973,-79.559993,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
122256,CF Sherway Gardens - Tesla Supercharger,25 The West Mall,Etobicoke,Ontario,43.613938,-79.55414,Tesla,20,0.0,TESLA,Public,24 hours daily; for Tesla use only,2019-03-01
158047,Sandalwood Square,60 Bristol Rd E,Mississauga,Ontario,43.6151424,-79.6606372,Non-Networked,2,0.0,CHADEMO J1772COMBO,PLANNED - not yet accessible (Public),Unknown,
129523,FLO - Canadian Tire - Etobicoke,1612 The Queensway,Etobicoke,Ontario,43.617111,-79.544867,FLO,1,2.0,CHADEMO J1772 J1772COMBO,Public,24 hours daily,2019-07-17
